birmingham,charlotte,cincinnati,charleston,colorado springs,columbia,columbus,dallas,greensboro,houston,indianapolis,kansas-city,las-vegas,memphis,minneapolis,nashville,phoenix,raleigh,reno,salt-lake,st-louis,tucson,winston-salem
35048,28107,41006,,,,43203,75081,,77071,46213,66036,89087,,55108,,85307,27661,,,62223,,
35060,28287,41003,,,,43222,75224,,77072,46206,66102,89116,,55109,,85028,27628,,,62225,,
35123,28053,41033,,,,43137,75206,,77073,46242,66104,89126,,55110,,85122,27656,,,62226,,
35139,28070,41043,,,,43217,75248,,77074,46251,66106,89114,,55111,,85205,27676,,,62230,,
35142,28055,45106,,,,43126,75234,,77075,46282,66109,89133,,55112,,85203,27697,,,62231,,
35181,28106,45107,,,,43002,75063,,77076,46285,66103,89136,,55113,,85024,27699,,,62232,,
35201,28111,45121,,,,43086,75238,,77077,46253,66101,89137,,55114,,85208,27602,,,62234,,
35202,28082,45154,,,,43109,75214,,77078,46298,66111,89132,,55115,,85120,27636,,,62236,,
35219,28026,45176,,,,43196,75232,,77079,46249,66112,89160,,55116,,85308,27675,,,62239,,
35220,28126,45171,,,,43195,75229,,77080,46244,66012,89154,,55117,,85131,27690,,,62240,,
35225,28123,45697,,,,43199,75038,,77081,46247,66105,89153,,55118,,85335,,,,62243,,
35230,28201,45130,,,,43198,75041,,77082,46230,66160,89150,,55119,,85254,,,,62244,,
35232,28035,45167,,,,43216,75241,,77083,46283,66110,89157,,55120,,85338,,,,62245,,
35231,28222,45120,,,,43218,75089,,77084,,66113,89151,,55121,,85395,,,,62246,,
35236,28228,45118,,,,43226,75181,,77085,,66117,89162,,55122,,85209,,,,62248,,
35237,28220,45101,,,,43234,75204,,77086,,66119,89173,,55123,,85233,,,,62249,,
35240,28224,45168,,,,43236,75208,,77087,,66118,89199,,55124,,85253,,,,62250,,
35246,28221,45115,,,,43260,75254,,77088,,66115,89191,,55125,,85381,,,,62253,,
35245,28223,45119,,,,43251,75088,,77089,,64012,89193,,55126,,85048,,,,62254,,
35253,28233,45131,,,,43266,75230,,77090,,64083,89180,,55127,,85373,,,,62255,,
35249,28235,45140,,,,43265,75240,,77091,,64701,89111,,55128,,85050,,,,62257,,
35255,28236,45103,,,,43270,75212,,77092,,64080,89033,,55129,,85226,,,,62258,,
35254,28246,45150,,,,43268,75219,,77093,,64082,89077,,55130,,85375,,,,62260,,
35260,28241,45244,,,,43272,75205,,77094,,64078,89036,,55150,,85259,,,,62262,,
35259,28244,45255,,,,43271,75180,,77095,,64034,89170,,55155,,85143,,,,62264,,
35263,28232,45102,,,,43287,75218,,77096,,64747,89195,,55301,,85215,,,,62265,,
35261,28237,45245,,,,43279,75048,,77098,,64061,,,55302,,85379,,,,62266,,
